EIS ID,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,Document Link,Comment Due Date,Contact Name,Contact Number
20180118,Cattle Fever Tick Eradication Program - Tick Control Barrier,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250761,Final,,6/1/18,Department of Agriculture,TX,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250761,7/2/18,Dr. Denise Bonilla,970-494-7317
20180117,Rebuild by Design (RBD) Meadowlands Flood Protection Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250612,Draft,,6/1/18,Department of Housing and Urban Development,NJ,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250612,7/16/18,Dennis Reinknecht,609-777-4152
20180116,"WIS 23 Fond du Lac to Plymouth, 2018 Limited Scope Supplemental Draft Environmental Impact Statement",https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250539,Draft Supplement,,6/1/18,Federal Highway Administration,WI,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250539,7/31/18,Michael Davies,608-829-7500
20180115,Sunrise Vegetation and Fuels Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250605,Draft,,6/1/18,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250605,7/16/18,Johnny Collin,509-843-4643
20180114,"Integrated General Reevaluation Report & Supplement III to the Final Environmental Impact Statement, Mississippi River Ship Channel, Baton Rouge to the Gulf, Louisiana Project",https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250559,Final Supplement,,6/1/18,U.S. Army Corps of Engineers,LA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250559,7/2/18,Steve Roberts,504-862-2517
20180113,Bog Creek Road Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250550,Draft,,6/1/18,U.S. Customs and Border Protection,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250550,7/16/18,Paul Enriquez,949-643-6365
20180112,Hunts Point Interstate Access Improvement Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250441,Draft,,6/1/18,Federal Highway Administration,NY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250441,7/16/18,Erik Koester- NYSDOT Project Director,718-482-4683
20180111,Draft Environmental Impact Statement for Issuing Annual Catch Limits to the Alaska Eskimo Whaling Commission for a Subsistence Hunt on Bowhead Whales for the Years 2019 and Beyond,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250144,Draft,,6/1/18,National Marine Fisheries Service,NAT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250144,7/24/18,"John Henderschedt, ATTN: Carolyn Doherty",(301) 427-8385
20180110,Lower Elkhorn Basin Levee Setback Project Environmental Impact Statement/Environmental Impact Report,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250328,Draft,,5/25/18,U.S. Army Corps of Engineers,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250328,7/9/18,Tanis Toland,916-557-6717
20180109,Plan Revision for the Coconino National Forest,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250248,Final,,5/25/18,Forest Service,AZ,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250248,8/22/18,Vernon Keller,928-527-3415
