EIS Number,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,EIS Comment Due/Review Period Due,Agency,State,Download Documents,Document Link,Contact Name,Contact Phone
20180118,Cattle Fever Tick Eradication Program - Tick Control Barrier,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250761,Final,,6/1/18,7/2/18,Department of Agriculture,TX,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250761,Dr. Denise Bonilla,970-494-7317
20180117,Rebuild by Design (RBD) Meadowlands Flood Protection Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250612,Draft,,6/1/18,7/16/18,Department of Housing and Urban Development,NJ,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250612,Dennis Reinknecht,609-777-4152
20180116,WIS 23 Fond du Lac to Plymouth/ 2018 Limited Scope Supplemental Draft Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250539,Draft Supplement,,6/1/18,7/31/18,Federal Highway Administration,WI,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250539,Michael Davies,608-829-7500
20180115,Sunrise Vegetation and Fuels Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250605,Draft,,6/1/18,7/16/18,Forest Service,WA - OR,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250605,Johnny Collin,509-843-4643
20180114,Integrated General Reevaluation Report & Supplement III to the Final Environmental Impact Statement Mississippi River Ship Channel Baton Rouge to the Gulf/Louisiana Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250559,Final Supplement,,6/1/18,7/2/18,U.S. Army Corps of Engineers,LA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250559,Steve Roberts,504-862-2517
20180113,Bog Creek Road Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250550,Draft,,6/1/18,7/16/18,U.S. Customs and Border Protection,ID,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250550,Paul Enriquez,949-643-6365
20180112,Hunts Point Interstate Access Improvement Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250441,Draft,,6/1/18,7/16/18,Federal Highway Administration,NY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250441,Erik Koester- NYSDOT Project Director,718-482-4683
20180111,Draft Environmental Impact Statement for Issuing Annual Catch Limits to the Alaska Eskimo Whaling Commission for a Subsistence Hunt on Bowhead Whales for the Years 2019 and Beyond,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250144,Draft,,6/1/18,7/31/18,National Marine Fisheries Service,NAT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250144,John Henderschedt ATTN: Carolyn Doherty,301-427-8385
20180110,Lower Elkhorn Basin Levee Setback Project Environmental Impact Statement/Environmental Impact Report,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250328,Draft,,5/25/18,7/9/18,U.S. Army Corps of Engineers,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250328,Tanis Toland,916-557-6717
20180109,Plan Revision for the Coconino National Forest,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250248,Final,,5/25/18,8/22/18,Forest Service,AZ,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=250248,Vernon Keller,928-527-3415
